First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Danny;Silva;El Puma;"5' 11""";145 lbs.;"70.0""";Switch;10;2;0;5.0;11.0;180.34;145.0;65.77083999999999
Frank;Silva;De Black;--;125 lbs.;--;;7;1;0;;;;125.0;56.699
Samuel;Silva;Caveira;"6' 0""";155 lbs.;"72.0""";Orthodox;13;5;1;6.0;0.0;182.88;155.0;70.30676
Douglas;Silva de Andrade;D Silva;"5' 7""";145 lbs.;"68.0""";Orthodox;29;6;0;5.0;7.0;170.18;145.0;65.77083999999999
Leonardo;Silva de Oliveira;Cabecao;"6' 2""";185 lbs.;--;Orthodox;12;4;0;6.0;2.0;187.96;185.0;83.91452
Marcus;Silveira;Conan;"6' 3""";242 lbs.;--;Orthodox;6;4;0;6.0;3.0;190.5;242.0;109.76926399999999
Elias;Silverio;Xuxu;"5' 11""";155 lbs.;"73.0""";Orthodox;13;3;0;5.0;11.0;180.34;155.0;70.30676
Sim;Kai Xiong;Kobra;"5' 6""";135 lbs.;"67.0""";Orthodox;7;2;0;5.0;6.0;167.64000000000001;135.0;61.23492
Jamey;Simmons;The Afro Samurai;"5' 6""";135 lbs.;"70.0""";Orthodox;7;4;0;5.0;6.0;167.64000000000001;135.0;61.23492
Ricky;Simon;;"5' 6""";135 lbs.;"69.0""";Orthodox;22;7;0;5.0;6.0;167.64000000000001;135.0;61.23492
Aaron;Simpson;A-Train;"6' 0""";170 lbs.;"73.0""";Orthodox;12;5;0;6.0;0.0;182.88;170.0;77.11064
Wes;Sims;The Project;"6' 10""";260 lbs.;--;Orthodox;24;14;1;6.0;10.0;208.28;260.0;117.93392
Marlon;Sims;;--;170 lbs.;--;;3;4;0;;;;170.0;77.11064
Tony;Sims;;"5' 11""";155 lbs.;"70.0""";Southpaw;12;4;0;5.0;11.0;180.34;155.0;70.30676
Everett;Sims;Sexual Chocolate;"6' 5""";260 lbs.;"77.0""";Southpaw;4;1;0;6.0;5.0;195.58;260.0;117.93392
Lodune;Sincaid;;"5' 9""";185 lbs.;--;Orthodox;15;9;0;5.0;9.0;175.26;185.0;83.91452
Rob;Sinclair;;"5' 8""";155 lbs.;--;;13;5;0;5.0;8.0;172.72;155.0;70.30676
Rory;Singer;Outburst;"6' 2""";185 lbs.;"77.0""";Orthodox;11;9;0;6.0;2.0;187.96;185.0;83.91452
Rana Rudra Pratap;Singh;Ashwathama;"5' 10""";135 lbs.;"69.0""";Orthodox;11;2;0;5.0;10.0;177.8;135.0;61.23492
Kiran;Singh;Stubborn;"5' 1""";115 lbs.;"65.0""";Orthodox;7;4;0;5.0;1.0;154.94;115.0;52.16308
Elvis;Sinosic;The King of Rock n' Rumble;"6' 3""";205 lbs.;"77.0""";Orthodox;7;11;2;6.0;3.0;190.5;205.0;92.98636
Mitchell;Sipe;No Dice;"6' 2""";245 lbs.;--;Orthodox;4;1;0;6.0;2.0;187.96;245.0;111.13004
Gian;Siqueira;Pitbull;"6' 1""";170 lbs.;"74.0""";Orthodox;19;5;0;6.0;1.0;185.42000000000002;170.0;77.11064
Jeremia;Siregar;The Teacher;"5' 2""";125 lbs.;"63.0""";Orthodox;6;3;0;5.0;2.0;157.48;125.0;56.699
AJ;Siscoe;Let's Go;"5' 7""";135 lbs.;--;;1;2;0;5.0;7.0;170.18;135.0;61.23492
Yokthai;Sithoar;;"5' 7""";143 lbs.;--;;0;1;0;5.0;7.0;170.18;143.0;64.863656
Jeri;Sitzes;;"5' 5""";125 lbs.;--;;3;1;0;5.0;5.0;165.1;125.0;56.699
Dennis;Siver;;"5' 6""";145 lbs.;"70.0""";Orthodox;23;11;0;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Chas;Skelly;The Scrapper;"5' 11""";145 lbs.;"72.0""";Orthodox;19;3;0;5.0;11.0;180.34;145.0;65.77083999999999
Matt;Skelton;;"6' 3""";265 lbs.;--;Orthodox;0;1;0;6.0;3.0;190.5;265.0;120.20188
Zach;Skinner;;"5' 6""";145 lbs.;--;Orthodox;10;11;0;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Brian;Sleeman;;"5' 8""";185 lbs.;--;;9;9;1;5.0;8.0;172.72;185.0;83.91452
Joe;Slick;;"6' 0""";199 lbs.;--;Orthodox;16;5;3;6.0;0.0;182.88;199.0;90.264808
Ray;Sloan;;"6' 1""";205 lbs.;--;;8;1;0;6.0;1.0;185.42000000000002;205.0;92.98636
Kestutis;Smirnovas;;"5' 10""";200 lbs.;--;Orthodox;24;8;2;5.0;10.0;177.8;200.0;90.7184
Maurice;Smith;;"6' 2""";221 lbs.;--;Orthodox;12;14;0;6.0;2.0;187.96;221.0;100.243832
Patrick;Smith;;"6' 2""";225 lbs.;--;Orthodox;20;17;0;6.0;2.0;187.96;225.0;102.0582
Scott;Smith;Hands of Steel;"6' 0""";185 lbs.;"70.0""";Orthodox;18;11;0;6.0;0.0;182.88;185.0;83.91452
Eric;Smith;;--;--;--;Southpaw;1;1;0;;;;;
Josh;Smith;;"6' 0""";155 lbs.;--;Orthodox;9;8;0;6.0;0.0;182.88;155.0;70.30676
David;Smith;;--;155 lbs.;--;;5;1;0;;;;155.0;70.30676
Adam;Smith;;--;--;--;;0;3;0;;;;;
Dillon;Smith;;"6' 0""";170 lbs.;--;;0;0;0;6.0;0.0;182.88;170.0;77.11064
Trevor;Smith;Hot Sauce;"6' 3""";185 lbs.;"75.0""";Orthodox;15;10;0;6.0;3.0;190.5;185.0;83.91452
Anthony;Smith;Lionheart;"6' 4""";205 lbs.;"76.0""";Orthodox;38;22;0;6.0;4.0;193.04;205.0;92.98636
Colton;Smith;;"6' 0""";155 lbs.;"71.0""";Orthodox;7;4;0;6.0;0.0;182.88;155.0;70.30676
Gilbert;Smith;;"5' 9""";185 lbs.;--;Southpaw;12;6;0;5.0;9.0;175.26;185.0;83.91452
Leslie;Smith;The Peacemaker;"5' 9""";135 lbs.;"66.0""";Orthodox;10;7;1;5.0;9.0;175.26;135.0;61.23492
Devonte;Smith;King Kage;"5' 9""";155 lbs.;"76.0""";Orthodox;11;4;0;5.0;9.0;175.26;155.0;70.30676
Cole;Smith;The Cole Train;"5' 11""";135 lbs.;"67.0""";Orthodox;7;2;0;5.0;11.0;180.34;135.0;61.23492
Nate;Smith;The Savage;"5' 6""";125 lbs.;"69.0""";Switch;6;1;0;5.0;6.0;167.64000000000001;125.0;56.699
Braxton;Smith;The Beautiful Monster;"5' 11""";257 lbs.;"72.0""";Orthodox;5;2;0;5.0;11.0;180.34;257.0;116.573144
Elijah;Smith;Swift;"5' 9""";135 lbs.;"71.0""";Orthodox;9;1;0;5.0;9.0;175.26;135.0;61.23492
Jacobe;Smith;Cobe;"5' 10""";170 lbs.;"72.0""";Southpaw;11;0;0;5.0;10.0;177.8;170.0;77.11064
Walter;Smith-Cotito;;"5' 8""";135 lbs.;--;;4;5;0;5.0;8.0;172.72;135.0;61.23492
Justin;Smitley;;--;145 lbs.;--;;10;7;1;;;;145.0;65.77083999999999
Dmitrii;Smoliakov;The Lifeguard;"6' 2""";253 lbs.;"74.0""";Switch;9;3;0;6.0;2.0;187.96;253.0;114.758776
Louis;Smolka;Da Last Samurai;"5' 9""";135 lbs.;"68.0""";Orthodox;17;9;0;5.0;9.0;175.26;135.0;61.23492
Cameron;Smotherman;The Baby-Faced Killa;"5' 9""";135 lbs.;"69.0""";Orthodox;12;6;0;5.0;9.0;175.26;135.0;61.23492
Shimon;Smotritsky;The Assassin;"6' 2""";170 lbs.;"74.0""";Orthodox;8;2;0;6.0;2.0;187.96;170.0;77.11064
Richie;Smullen;;"5' 9""";155 lbs.;"68.0""";Orthodox;3;1;1;5.0;9.0;175.26;155.0;70.30676
Devin;Smyth;;"5' 10""";170 lbs.;"72.0""";Switch;4;2;0;5.0;10.0;177.8;170.0;77.11064
Denis;Sobolev;;"6' 3""";216 lbs.;--;Orthodox;4;7;0;6.0;3.0;190.5;216.0;97.975872
Peter;Sobotta;;"6' 0""";170 lbs.;"75.0""";Southpaw;17;7;1;6.0;0.0;182.88;170.0;77.11064
Renato;Sobral;Babalu;"6' 1""";205 lbs.;"75.0""";Orthodox;37;11;0;6.0;1.0;185.42000000000002;205.0;92.98636
Rameau Thierry;Sokoudjou;The African Assassin;"5' 10""";205 lbs.;"78.0""";Orthodox;18;18;0;5.0;10.0;177.8;205.0;92.98636
Axel;Sola;;"6' 2""";155 lbs.;"74.0""";Southpaw;11;0;1;6.0;2.0;187.96;155.0;70.30676
Alexander;Soldatkin;;"6' 2""";250 lbs.;"75.0""";Orthodox;14;4;0;6.0;2.0;187.96;250.0;113.398
Joe;Solecki;;"5' 9""";155 lbs.;"70.0""";Orthodox;13;6;0;5.0;9.0;175.26;155.0;70.30676
Chris;Solomon;;"5' 11""";155 lbs.;--;;0;0;0;5.0;11.0;180.34;155.0;70.30676
Joe;Son;;"5' 4""";236 lbs.;--;Orthodox;0;4;0;5.0;4.0;162.56;236.0;107.047712
Paul;Song;;--;185 lbs.;--;;2;2;0;;;;185.0;83.91452
Song;Kenan;The Assassin;"6' 0""";170 lbs.;"71.0""";Orthodox;22;9;0;6.0;0.0;182.88;170.0;77.11064
Song;Yadong;Kung Fu Kid;"5' 8""";135 lbs.;"67.0""";Orthodox;22;9;1;5.0;8.0;172.72;135.0;61.23492
YoungJae;Song;Super Rookie;"5' 7""";145 lbs.;"70.0""";Orthodox;6;1;1;5.0;7.0;170.18;145.0;65.77083999999999
Hyeonjong;Song;;--;135 lbs.;--;;8;1;0;;;;135.0;61.23492
Emrah;Sonmez;Anatolian Wolf;"5' 10""";145 lbs.;"71.0""";Orthodox;14;5;0;5.0;10.0;177.8;145.0;65.77083999999999
Chael;Sonnen;;"6' 1""";205 lbs.;"73.0""";Southpaw;29;15;1;6.0;1.0;185.42000000000002;205.0;92.98636
Cody;Sons;;"5' 9""";205 lbs.;--;;3;7;0;5.0;9.0;175.26;205.0;92.98636
Jin;Soo Son;;"5' 6""";135 lbs.;"69.0""";Orthodox;9;4;0;5.0;6.0;167.64000000000001;135.0;61.23492
Benardo;Sopaj;Lion King;"5' 6""";135 lbs.;"66.0""";Orthodox;12;3;0;5.0;6.0;167.64000000000001;135.0;61.23492
