First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Tom;Aaron;;--;155 lbs.;--;;5;3;0;;;;155.0;70.30676
Danny;Abbadi;The Assassin;"5' 11""";155 lbs.;--;Orthodox;4;6;0;5.0;11.0;180.34;155.0;70.30676
Nariman;Abbasov;Bayraktar;"5' 8""";155 lbs.;"66.0""";Orthodox;28;4;0;5.0;8.0;172.72;155.0;70.30676
Darion;Abbey;;"6' 2""";265 lbs.;"80.0""";Orthodox;9;5;0;6.0;2.0;187.96;265.0;120.20188
David;Abbott;Tank;"6' 0""";265 lbs.;--;Switch;10;15;0;6.0;0.0;182.88;265.0;120.20188
Hamdy;Abdelwahab;The Hammer;"6' 2""";265 lbs.;"72.0""";Southpaw;7;1;0;6.0;2.0;187.96;265.0;120.20188
Mansur;Abdul-Malik;;"6' 2""";185 lbs.;"80.0""";Orthodox;9;0;1;6.0;2.0;187.96;185.0;83.91452
Shamil;Abdurakhimov;Abrek;"6' 3""";235 lbs.;"76.0""";Orthodox;20;8;0;6.0;3.0;190.5;235.0;106.59412
Hiroyuki;Abe;Abe Ani;"5' 6""";145 lbs.;--;Orthodox;8;15;3;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Daichi;Abe;;"5' 11""";170 lbs.;"71.0""";Orthodox;6;2;0;5.0;11.0;180.34;170.0;77.11064
Papy;Abedi;Makambo;"5' 11""";185 lbs.;--;Southpaw;10;4;0;5.0;11.0;180.34;185.0;83.91452
Ricardo;Abreu;Demente;"5' 11""";185 lbs.;--;Orthodox;5;1;0;5.0;11.0;180.34;185.0;83.91452
Klidson;Abreu;White Bear;"6' 0""";205 lbs.;"74.0""";Orthodox;15;4;0;6.0;0.0;182.88;205.0;92.98636
Cyborg;Abreu;;--;--;--;;0;0;0;;;;;
Daniel;Acacio;;"5' 8""";180 lbs.;--;Orthodox;30;18;0;5.0;8.0;172.72;180.0;81.64656
John;Adajar;The Outlaw;"5' 9""";170 lbs.;"75.0""";Orthodox;6;2;0;5.0;9.0;175.26;170.0;77.11064
Scott;Adams;;"6' 0""";225 lbs.;--;Southpaw;8;1;0;6.0;0.0;182.88;225.0;102.0582
Juan;Adams;The Kraken;"6' 5""";265 lbs.;"80.0""";Orthodox;5;3;0;6.0;5.0;195.58;265.0;120.20188
Anthony;Adams;Sugafoot;"6' 1""";185 lbs.;"76.0""";Orthodox;8;2;0;6.0;1.0;185.42000000000002;185.0;83.91452
Zarrukh;Adashev;The Lion;"5' 5""";125 lbs.;"65.0""";Southpaw;4;4;0;5.0;5.0;165.1;125.0;56.699
Israel;Adesanya;The Last Stylebender;"6' 4""";185 lbs.;"80.0""";Switch;24;5;0;6.0;4.0;193.04;185.0;83.91452
Sam;Adkins;The Experience;"6' 3""";225 lbs.;--;Orthodox;7;20;2;6.0;3.0;190.5;225.0;102.0582
Mohamed;Ado;;"5' 11""";170 lbs.;"76.0""";Switch;5;1;0;5.0;11.0;180.34;170.0;77.11064
Nick;Agallar;;"5' 8""";155 lbs.;--;Orthodox;24;6;0;5.0;8.0;172.72;155.0;70.30676
Mariya;Agapova;Money Mashka;"5' 6""";125 lbs.;"68.0""";Southpaw;10;5;0;5.0;6.0;167.64000000000001;125.0;56.699
Kantharaj;Agasa;Kannadiga;--;135 lbs.;--;;12;3;0;;;;135.0;61.23492
Marcelo;Aguiar;;"5' 10""";170 lbs.;--;Orthodox;2;3;1;5.0;10.0;177.8;170.0;77.11064
Fabio;Aguiar;;"6' 0""";185 lbs.;--;;17;1;0;6.0;0.0;182.88;185.0;83.91452
Edwin;Aguilar;Tigre;"5' 10""";185 lbs.;--;;26;19;0;5.0;10.0;177.8;185.0;83.91452
Jessica;Aguilar;Jag;"5' 3""";115 lbs.;"63.0""";Orthodox;20;8;0;5.0;3.0;160.02;115.0;52.16308
Kevin;Aguilar;Angel of Death;"5' 7""";155 lbs.;"73.0""";Orthodox;17;5;0;5.0;7.0;170.18;155.0;70.30676
Jesus;Aguilar;;"5' 4""";125 lbs.;"62.0""";Orthodox;12;3;0;5.0;4.0;162.56;125.0;56.699
Christian;Aguilera;The Beast;"5' 9""";170 lbs.;"72.0""";Switch;14;8;0;5.0;9.0;175.26;170.0;77.11064
Nick;Aguirre;Slick;"5' 9""";135 lbs.;"74.0""";Southpaw;7;2;0;5.0;9.0;175.26;135.0;61.23492
;Agulali;;"5' 9""";125 lbs.;"67.0""";Switch;13;2;0;5.0;9.0;175.26;125.0;56.699
Ahejiang;Ailinuer;;--;145 lbs.;--;;15;3;0;;;;145.0;65.77083999999999
Mike;Aina;Iron;"5' 9""";155 lbs.;--;Orthodox;14;6;1;5.0;9.0;175.26;155.0;70.30676
Ashiek;Ajim;Peak Physique;"5' 8""";135 lbs.;"71.0""";Switch;6;2;0;5.0;8.0;172.72;135.0;61.23492
Hitomi;Akano;Girlfight Monster;"5' 4""";135 lbs.;--;Southpaw;18;10;0;5.0;4.0;162.56;135.0;61.23492
Omari;Akhmedov;Wolverine;"6' 0""";185 lbs.;"73.0""";Orthodox;21;6;1;6.0;0.0;182.88;185.0;83.91452
Yoshihiro;Akiyama;;"5' 10""";170 lbs.;"75.0""";Orthodox;14;6;0;5.0;10.0;177.8;170.0;77.11064
Rostem;Akman;;"5' 10""";170 lbs.;"72.0""";Switch;6;2;0;5.0;10.0;177.8;170.0;77.11064
Razak;Al-Hassan;;"6' 2""";205 lbs.;--;Orthodox;13;5;0;6.0;2.0;187.96;205.0;92.98636
Abdul-Kareem;Al-Selwady;Pride of Palestine;"5' 8""";155 lbs.;"69.0""";Orthodox;15;4;0;5.0;8.0;172.72;155.0;70.30676
Mostapha;Al-Turk;;"6' 2""";245 lbs.;"77.0""";Orthodox;6;6;0;6.0;2.0;187.96;245.0;111.13004
Herdem;Alacabek;;"6' 2""";205 lbs.;"75.0""";Orthodox;5;1;0;6.0;2.0;187.96;205.0;92.98636
Javi;Alanis;;"5' 6""";135 lbs.;--;;0;4;0;5.0;6.0;167.64000000000001;135.0;61.23492
;Alatengheili;The Mongolian Knight;"5' 5""";135 lbs.;"66.0""";Orthodox;17;10;2;5.0;5.0;165.1;135.0;61.23492
Amir;Albazi;The Prince;"5' 5""";125 lbs.;"68.0""";Orthodox;17;3;0;5.0;5.0;165.1;125.0;56.699
Brett;Albee;;--;225 lbs.;--;;3;2;0;;;;225.0;102.0582
John;Albert;Prince;"5' 8""";135 lbs.;"68.0""";Orthodox;6;5;0;5.0;8.0;172.72;135.0;61.23492
Junior;Albini;Baby;"6' 3""";264 lbs.;"74.0""";Orthodox;14;6;0;6.0;3.0;190.5;264.0;119.748288
Wes;Albritton;;"5' 10""";188 lbs.;--;Orthodox;0;1;0;5.0;10.0;177.8;188.0;85.275296
Aleksandra;Albu;Stitch;"5' 2""";115 lbs.;"63.0""";Orthodox;3;2;0;5.0;2.0;157.48;115.0;52.16308
Israel;Albuquerque;;--;185 lbs.;--;Orthodox;0;3;0;;;;185.0;83.91452
Juan;Alcain;;--;--;--;;1;2;0;;;;;
Iuri;Alcantara;Marajo;"5' 9""";135 lbs.;"71.0""";Southpaw;35;10;0;5.0;9.0;175.26;135.0;61.23492
Ildemar;Alcantara;Marajo;"6' 2""";185 lbs.;"78.0""";Orthodox;21;11;0;6.0;2.0;187.96;185.0;83.91452
Alfonso;Alcarez;;"5' 3""";145 lbs.;--;;1;3;1;5.0;3.0;160.02;145.0;65.77083999999999
Gilbert;Aldana;El Peligro;"6' 1""";250 lbs.;--;Orthodox;6;2;0;6.0;1.0;185.42000000000002;250.0;113.398
Irene;Aldana;;"5' 9""";135 lbs.;"68.0""";Orthodox;15;8;0;5.0;9.0;175.26;135.0;61.23492
Hector;Aldana;;"5' 11""";170 lbs.;"72.0""";Orthodox;4;3;0;5.0;11.0;180.34;170.0;77.11064
Jose;Alday;Pochito;"5' 7""";135 lbs.;"68.0""";Orthodox;14;6;1;5.0;7.0;170.18;135.0;61.23492
Jose;Aldo;;"5' 7""";135 lbs.;"70.0""";Orthodox;32;10;0;5.0;7.0;170.18;135.0;61.23492
JJ;Aldrich;;"5' 5""";125 lbs.;"67.0""";Southpaw;14;7;0;5.0;5.0;165.1;125.0;56.699
Irina;Alekseeva;Russian Ronda;"5' 8""";135 lbs.;"67.0""";Orthodox;5;4;0;5.0;8.0;172.72;135.0;61.23492
Talita;Alencar;Problem Child;"5' 1""";115 lbs.;"58.0""";Orthodox;7;1;1;5.0;1.0;154.94;115.0;52.16308
Jim;Alers;The Beast;"5' 9""";145 lbs.;"71.0""";Orthodox;13;3;0;5.0;9.0;175.26;145.0;65.77083999999999
John;Alessio;The Natural;"5' 10""";155 lbs.;"72.0""";Orthodox;35;17;0;5.0;10.0;177.8;155.0;70.30676
Houston;Alexander;The Assassin;"6' 0""";205 lbs.;"72.0""";Orthodox;17;15;1;6.0;0.0;182.88;205.0;92.98636
Kenneth;Alexander;The Machine;"5' 9""";155 lbs.;--;Orthodox;7;6;0;5.0;9.0;175.26;155.0;70.30676
Lucas;Alexander;The Lion;"5' 11""";145 lbs.;"73.0""";Orthodox;8;5;0;5.0;11.0;180.34;145.0;65.77083999999999
Marcio;Alexandre Junior;Lyoto;"6' 0""";185 lbs.;"75.0""";Southpaw;17;4;0;6.0;0.0;182.88;185.0;83.91452
Olaf;Alfonso;;"6' 2""";170 lbs.;--;Orthodox;8;12;0;6.0;2.0;187.96;170.0;77.11064
Pablo;Alfonso;The Hurricane;"5' 8""";145 lbs.;--;;9;7;0;5.0;8.0;172.72;145.0;65.77083999999999
Levi;Alford;;--;--;--;;1;7;0;;;;;
Bill;Algeo;Senor Perfecto;"6' 0""";145 lbs.;"73.0""";Switch;18;9;0;6.0;0.0;182.88;145.0;65.77083999999999
Royce;Alger;;"5' 10""";199 lbs.;--;Orthodox;3;2;0;5.0;10.0;177.8;199.0;90.264808
Amir;Aliakbari;;"6' 3""";250 lbs.;--;;10;1;0;6.0;3.0;190.5;250.0;113.398
Sultan;Aliev;;"5' 11""";170 lbs.;"74.0""";Orthodox;15;3;0;5.0;11.0;180.34;170.0;77.11064
Nurullo;Aliev;Tajik Eagle;"5' 10""";155 lbs.;"72.0""";Orthodox;11;0;0;5.0;10.0;177.8;155.0;70.30676
Ikram;Aliskerov;;"6' 0""";185 lbs.;"76.0""";Southpaw;17;2;0;6.0;0.0;182.88;185.0;83.91452
Leon;Aliu;The Albanian Lion;"6' 0""";185 lbs.;"74.0""";Orthodox;10;2;0;6.0;0.0;182.88;185.0;83.91452
John;Allan;;"6' 1""";205 lbs.;"75.0""";Orthodox;13;7;0;6.0;1.0;185.42000000000002;205.0;92.98636
George;Allen;;"6' 2""";205 lbs.;--;Open Stance;13;19;2;6.0;2.0;187.96;205.0;92.98636
Arnold;Allen;Almighty;"5' 8""";145 lbs.;"70.0""";Southpaw;20;4;0;5.0;8.0;172.72;145.0;65.77083999999999
Brendan;Allen;All In;"6' 2""";185 lbs.;"75.0""";Orthodox;26;7;0;6.0;2.0;187.96;185.0;83.91452
Daniel;Allen;;"6' 0""";155 lbs.;"75.0""";Southpaw;5;0;0;6.0;0.0;182.88;155.0;70.30676
Ben;Alloway;Blanco;"5' 11""";170 lbs.;"76.0""";Orthodox;18;8;0;5.0;11.0;180.34;170.0;77.11064
Asu;Almabayev;Zulfikar;"5' 4""";125 lbs.;"65.0""";Orthodox;23;3;0;5.0;4.0;162.56;125.0;56.699
Bekzat;Almakhan;The Turan Warrior;"5' 7""";135 lbs.;"68.0""";Orthodox;12;3;0;5.0;7.0;170.18;135.0;61.23492
John Dave;Almanza;The Striker;"5' 7""";125 lbs.;"67.0""";Southpaw;6;1;0;5.0;7.0;170.18;125.0;56.699
Ricardo;Almeida;Big Dog;"6' 0""";170 lbs.;"74.0""";Orthodox;13;5;0;6.0;0.0;182.88;170.0;77.11064
Magno;Almeida;;"6' 0""";155 lbs.;--;;10;3;0;6.0;0.0;182.88;155.0;70.30676
Thomas;Almeida;Thominhas;"5' 7""";145 lbs.;"70.0""";Southpaw;22;5;0;5.0;7.0;170.18;145.0;65.77083999999999
Ericka;Almeida;;"5' 6""";115 lbs.;--;Orthodox;7;3;0;5.0;6.0;167.64000000000001;115.0;52.16308
Estefani;Almeida;;"5' 4""";125 lbs.;--;Orthodox;7;3;0;5.0;4.0;162.56;125.0;56.699
Jailton;Almeida;Malhadinho;"6' 3""";225 lbs.;"79.0""";Orthodox;22;5;0;6.0;3.0;190.5;225.0;102.0582
Lucas;Almeida;;"5' 11""";145 lbs.;"71.0""";Orthodox;15;5;0;5.0;11.0;180.34;145.0;65.77083999999999
Cesar;Almeida;Cesinha;"6' 1""";185 lbs.;"74.0""";Orthodox;7;2;0;6.0;1.0;185.42000000000002;185.0;83.91452
Mauricio;Alonso;;"6' 2""";170 lbs.;--;;13;7;0;6.0;2.0;187.96;170.0;77.11064
Sarah;Alpar;Too Sweet;"5' 4""";135 lbs.;"63.0""";Southpaw;9;6;0;5.0;4.0;162.56;135.0;61.23492
Ali;AlQaisi;The Royal Fighter;"5' 6""";135 lbs.;"68.0""";Orthodox;8;5;0;5.0;6.0;167.64000000000001;135.0;61.23492
Rico;Altamirano;;"5' 10""";170 lbs.;--;;4;3;0;5.0;10.0;177.8;170.0;77.11064
Victor;Altamirano;El Magnifico;"5' 8""";125 lbs.;"70.0""";Switch;12;5;0;5.0;8.0;172.72;125.0;56.699
Mike;Altman;;"5' 10""";185 lbs.;--;Orthodox;1;4;0;5.0;10.0;177.8;185.0;83.91452
Patricia;Alujas;The Angel;"5' 4""";115 lbs.;"64.0""";Orthodox;9;3;0;5.0;4.0;162.56;115.0;52.16308
Sean;Alvarez;;"6' 0""";235 lbs.;--;Orthodox;4;3;0;6.0;0.0;182.88;235.0;106.59412
Eddie;Alvarez;;"5' 9""";155 lbs.;"69.0""";Orthodox;29;6;0;5.0;9.0;175.26;155.0;70.30676
Jaime;Alvarez;;"5' 8""";125 lbs.;"69.0""";Orthodox;6;1;0;5.0;8.0;172.72;125.0;56.699
Joel;Alvarez;El Fenomeno;"6' 3""";155 lbs.;"77.0""";Orthodox;23;3;0;6.0;3.0;190.5;155.0;70.30676
Thiago;Alves;Pitbull;"5' 9""";170 lbs.;"70.0""";Orthodox;23;15;0;5.0;9.0;175.26;170.0;77.11064
Anthony;Alves;;--;--;--;;1;4;0;;;;;
Amilcar;Alves;;"6' 0""";170 lbs.;--;Southpaw;15;12;0;6.0;0.0;182.88;170.0;77.11064
Warlley;Alves;;"5' 11""";185 lbs.;"72.0""";Orthodox;15;8;0;5.0;11.0;180.34;185.0;83.91452
Rafael;Alves;The Turn;"5' 8""";155 lbs.;"68.0""";Orthodox;20;12;0;5.0;8.0;172.72;155.0;70.30676
Sam;Alvey;Smile'N;"6' 2""";185 lbs.;"75.0""";Southpaw;33;18;1;6.0;2.0;187.96;185.0;83.91452
Christopher;Alvidrez;The Newborn;"6' 0""";170 lbs.;"74.0""";Orthodox;7;1;0;6.0;0.0;182.88;170.0;77.11064
Mahamed;Aly;;"6' 2""";205 lbs.;"78.0""";Orthodox;4;1;0;6.0;2.0;187.96;205.0;92.98636
Andre;Amado;Dida;"6' 0""";154 lbs.;--;Orthodox;6;4;1;6.0;0.0;182.88;154.0;69.853168
Adlan;Amagov;Borz;"6' 2""";170 lbs.;"76.0""";Orthodox;14;2;1;6.0;2.0;187.96;170.0;77.11064
Maiara;Amanajas dos Santos;;"5' 5""";115 lbs.;--;Southpaw;7;3;0;5.0;5.0;165.1;115.0;52.16308
Chris;Amarante;;--;185 lbs.;--;;2;0;0;;;;185.0;83.91452
Jimmy;Ambriz;The Titan;"6' 2""";315 lbs.;--;Southpaw;17;21;1;6.0;2.0;187.96;315.0;142.88148
JJ;Ambrose;;"5' 10""";170 lbs.;--;Orthodox;28;7;0;5.0;10.0;177.8;170.0;77.11064
Alen;Amedovski;;"5' 10""";185 lbs.;"74.0""";Orthodox;8;4;0;5.0;10.0;177.8;185.0;83.91452
Hyder;Amil;The Hurricane;"5' 9""";145 lbs.;"70.0""";Switch;11;2;0;5.0;9.0;175.26;145.0;65.77083999999999
Hamid;Amiri;The Storm;--;145 lbs.;--;;9;0;0;;;;145.0;65.77083999999999
Makwan;Amirkhani;Mr. Finland;"5' 10""";145 lbs.;"72.0""";Southpaw;17;9;0;5.0;10.0;177.8;145.0;65.77083999999999
Jaqueline;Amorim;;"5' 3""";115 lbs.;"68.0""";Orthodox;10;2;0;5.0;3.0;160.02;115.0;52.16308
Yaroslav;Amosov;;"6' 0""";170 lbs.;"75.0""";Orthodox;29;1;0;6.0;0.0;182.88;170.0;77.11064
Bertrand;Amoussou;;"5' 8""";190 lbs.;--;Orthodox;1;1;0;5.0;8.0;172.72;190.0;86.18248
Karl;Amoussou;The Psycho;"5' 11""";185 lbs.;--;Orthodox;27;7;2;5.0;11.0;180.34;185.0;83.91452
Eryk;Anders;Ya Boi;"6' 1""";185 lbs.;"75.0""";Southpaw;17;9;0;6.0;1.0;185.42000000000002;185.0;83.91452
Matt;Andersen;;"6' 2""";230 lbs.;--;Southpaw;14;8;1;6.0;2.0;187.96;230.0;104.32616
Andy;Anderson;The Hammer;"5' 6""";240 lbs.;--;;0;1;0;5.0;6.0;167.64000000000001;240.0;108.86207999999999
Lowell;Anderson;;"5' 6""";160 lbs.;--;Orthodox;0;1;0;5.0;6.0;167.64000000000001;160.0;72.57472
Corey;Anderson;Overtime;"6' 3""";205 lbs.;"79.0""";Orthodox;14;5;0;6.0;3.0;190.5;205.0;92.98636
Derek;Anderson;Barbaric;"6' 0""";155 lbs.;--;;14;3;0;6.0;0.0;182.88;155.0;70.30676
Megan;Anderson;;"6' 0""";145 lbs.;"72.0""";Orthodox;11;5;0;6.0;0.0;182.88;145.0;65.77083999999999
Liam;Anderson;;"6' 3""";185 lbs.;"75.0""";Orthodox;6;3;0;6.0;3.0;190.5;185.0;83.91452
Tatsuya;Ando;Kirinji;"5' 4""";145 lbs.;"68.0""";Southpaw;14;4;1;5.0;4.0;162.56;145.0;65.77083999999999
Alex;Andrade;El Toro;"5' 11""";200 lbs.;--;Orthodox;10;5;0;5.0;11.0;180.34;200.0;90.7184
Jessica;Andrade;Bate Estaca;"5' 1""";115 lbs.;"62.0""";Orthodox;26;15;0;5.0;1.0;154.94;115.0;52.16308
Viscardi;Andrade;;"5' 11""";170 lbs.;"75.0""";Orthodox;19;6;0;5.0;11.0;180.34;170.0;77.11064
Jermaine;Andre;;"5' 7""";200 lbs.;--;Orthodox;14;4;0;5.0;7.0;170.18;200.0;90.7184
Fellipe;Andrew;;--;--;--;;0;0;0;;;;;
Dylan;Andrews;The Villain;"6' 1""";185 lbs.;"74.0""";Switch;18;7;0;6.0;1.0;185.42000000000002;185.0;83.91452
Reese;Andy;Riptide;"6' 0""";205 lbs.;--;Orthodox;7;3;0;6.0;0.0;182.88;205.0;92.98636
;Angga;The Hitman;"5' 7""";145 lbs.;"68.0""";Orthodox;13;3;0;5.0;7.0;170.18;145.0;65.77083999999999
Julius;Anglickas;;"6' 3""";205 lbs.;--;Orthodox;5;1;0;6.0;3.0;190.5;205.0;92.98636
Collin;Anglin;;"5' 9""";145 lbs.;"71.0""";Orthodox;8;3;0;5.0;9.0;175.26;145.0;65.77083999999999
Chad;Anheliger;The Monster;"5' 6""";135 lbs.;"64.0""";Orthodox;13;8;0;5.0;6.0;167.64000000000001;135.0;61.23492
Yoji;Anjo;Mr. 200%;"5' 11""";205 lbs.;--;Orthodox;0;5;1;5.0;11.0;180.34;205.0;92.98636
Magomed;Ankalaev;;"6' 3""";205 lbs.;"75.0""";Orthodox;21;2;1;6.0;3.0;190.5;205.0;92.98636
Gadzhimurad;Antigulov;;"5' 11""";205 lbs.;"70.0""";Orthodox;20;8;0;5.0;11.0;180.34;205.0;92.98636
Adam;Antolin;Captain Chaos;"5' 5""";125 lbs.;"63.0""";Orthodox;12;3;0;5.0;5.0;165.1;125.0;56.699
Angelo;Antonio;;--;205 lbs.;--;Orthodox;1;4;0;;;;205.0;92.98636
Vanilto;Antunes;;"6' 0""";170 lbs.;"72.0""";Orthodox;16;7;0;6.0;0.0;182.88;170.0;77.11064
Azunna;Anyanwu;Zulu;"6' 1""";251 lbs.;--;Orthodox;14;5;0;6.0;1.0;185.42000000000002;251.0;113.851592
Shinsho;Anzai;Animal;"5' 7""";170 lbs.;"70.0""";Orthodox;10;3;0;5.0;7.0;170.18;170.0;77.11064
Jin;Aoi;;"5' 6""";145 lbs.;"68.0""";Orthodox;14;6;1;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Shinya;Aoki;Tobikan Judan;"5' 11""";154 lbs.;--;Southpaw;39;7;0;5.0;11.0;180.34;154.0;69.853168
;Aoriqileng;The Mongolian Murderer;"5' 7""";135 lbs.;"69.0""";Orthodox;26;12;0;5.0;7.0;170.18;135.0;61.23492
Josh;Appelt;;"5' 10""";255 lbs.;--;Southpaw;15;7;0;5.0;10.0;177.8;255.0;115.66596
Erik;Apple;;"6' 0""";170 lbs.;--;Orthodox;10;3;0;6.0;0.0;182.88;170.0;77.11064
Kenji;Arai;;"5' 10""";145 lbs.;--;Southpaw;15;15;5;5.0;10.0;177.8;145.0;65.77083999999999
Romie;Aram;;"5' 10""";170 lbs.;--;Orthodox;7;1;0;5.0;10.0;177.8;170.0;77.11064
Felipe;Arantes;Sertanejo;"5' 8""";135 lbs.;"73.0""";Orthodox;18;10;1;5.0;8.0;172.72;135.0;61.23492
Igor;Araujo;;"6' 1""";170 lbs.;"77.0""";Orthodox;25;9;0;6.0;1.0;185.42000000000002;170.0;77.11064
Viviane;Araujo;Vivi;"5' 4""";125 lbs.;"68.0""";Orthodox;13;7;0;5.0;4.0;162.56;125.0;56.699
Julio;Arce;;"5' 7""";145 lbs.;"70.0""";Southpaw;19;6;0;5.0;7.0;170.18;145.0;65.77083999999999
Art;Arciniega;King Arthur;"5' 8""";145 lbs.;--;;15;7;0;5.0;8.0;172.72;145.0;65.77083999999999
Alice;Ardelean;;"5' 3""";115 lbs.;"62.0""";Orthodox;11;7;0;5.0;3.0;160.02;115.0;52.16308
Tristan;Arenal;;--;155 lbs.;--;;7;4;0;;;;155.0;70.30676
Gabriel;Arges;;--;170 lbs.;--;;0;0;0;;;;170.0;77.11064
Dan;Argueta;The Determined;"5' 7""";135 lbs.;"68.0""";Southpaw;9;3;0;5.0;7.0;170.18;135.0;61.23492
Reza;Arianto;The Crazy Lion;--;155 lbs.;--;;5;0;0;;;;155.0;70.30676
Hashem;Arkhagha;;"6' 2""";185 lbs.;"75.0""";Orthodox;6;1;0;6.0;2.0;187.96;185.0;83.91452
Andrei;Arlovski;The Pitbull;"6' 3""";240 lbs.;"77.0""";Orthodox;34;24;0;6.0;3.0;190.5;240.0;108.86207999999999
Garrett;Armfield;;"5' 6""";135 lbs.;"70.0""";Orthodox;10;5;0;5.0;6.0;167.64000000000001;135.0;61.23492
Joey;Armstrong;;--;--;--;;5;2;0;;;;;
Austin;Arnett;;"6' 0""";145 lbs.;"72.0""";Orthodox;16;6;0;6.0;0.0;182.88;145.0;65.77083999999999
Ricardo;Arona;The Brazilian Tiger;"5' 11""";205 lbs.;--;Orthodox;14;5;0;5.0;11.0;180.34;205.0;92.98636
Eli;Aronov;The Israeli Tank;"5' 10""";185 lbs.;"72.0""";Orthodox;6;1;0;5.0;10.0;177.8;185.0;83.91452
Chalid;Arrab;Die Faust;"5' 11""";205 lbs.;--;Orthodox;7;3;0;5.0;11.0;180.34;205.0;92.98636
Akbarh;Arreola;El Caballero;"5' 10""";155 lbs.;"71.0""";Southpaw;23;11;1;5.0;10.0;177.8;155.0;70.30676
Matt;Arroyo;No Regard;"5' 10""";170 lbs.;"72.0""";Orthodox;3;3;0;5.0;10.0;177.8;170.0;77.11064
Antonio;Arroyo;;"6' 3""";185 lbs.;"73.0""";Orthodox;9;5;0;6.0;3.0;190.5;185.0;83.91452
Gilles;Arsene;;"5' 9""";190 lbs.;--;Southpaw;1;1;0;5.0;9.0;175.26;190.0;86.18248
Veta;Arteaga;;"5' 7""";125 lbs.;--;;3;1;0;5.0;7.0;170.18;125.0;56.699
Cesar;Arzamendia;Goku;"5' 11""";155 lbs.;--;Orthodox;8;3;0;5.0;11.0;180.34;155.0;70.30676
Kai;Asakura;;"5' 8""";125 lbs.;"69.0""";Orthodox;21;6;0;5.0;8.0;172.72;125.0;56.699
Teddy;Ash;Bear;"6' 1""";185 lbs.;"73.0""";Switch;14;5;0;6.0;1.0;185.42000000000002;185.0;83.91452
Arman;Ashimov;Mustafa Ozturik;"5' 6""";125 lbs.;--;;11;3;1;5.0;6.0;167.64000000000001;125.0;56.699
Yanal;Ashmouz;Red Fox;"5' 9""";155 lbs.;"69.0""";Orthodox;8;2;0;5.0;9.0;175.26;155.0;70.30676
;Asjabharan;;"5' 6""";135 lbs.;--;;7;6;0;5.0;6.0;167.64000000000001;135.0;61.23492
Askar;Askar;AK-47;"5' 7""";145 lbs.;"69.0""";Orthodox;11;1;0;5.0;7.0;170.18;145.0;65.77083999999999
Askar;Askarov;Bullet;"5' 6""";125 lbs.;"67.0""";Orthodox;14;1;1;5.0;6.0;167.64000000000001;125.0;56.699
Cyril;Asker;Silverback;"6' 0""";247 lbs.;"74.0""";Orthodox;9;4;0;6.0;0.0;182.88;247.0;112.037224
Khusein;Askhabov;Nohcho;"5' 8""";145 lbs.;"69.0""";Orthodox;23;1;0;5.0;8.0;172.72;145.0;65.77083999999999
Scott;Askham;;"6' 3""";185 lbs.;"75.0""";Southpaw;14;4;0;6.0;3.0;190.5;185.0;83.91452
Ben;Askren;Funky;"5' 11""";170 lbs.;"73.0""";Orthodox;19;2;0;5.0;11.0;180.34;170.0;77.11064
Ibo;Aslan;The Last Ottoman;"6' 3""";205 lbs.;"77.0""";Orthodox;14;4;0;6.0;3.0;190.5;205.0;92.98636
Tom;Aspinall;;"6' 5""";255 lbs.;"78.0""";Orthodox;15;3;0;6.0;5.0;195.58;255.0;115.66596
Steven;Asplund;Concrete;"6' 5""";261 lbs.;"78.0""";Orthodox;7;1;0;6.0;5.0;195.58;261.0;118.387512
Bruno;Assis;Brunao;"6' 2""";185 lbs.;--;Orthodox;8;4;0;6.0;2.0;187.96;185.0;83.91452
Junior;Assuncao;;"5' 9""";145 lbs.;"72.0""";Orthodox;16;6;0;5.0;9.0;175.26;145.0;65.77083999999999
Raphael;Assuncao;;"5' 5""";135 lbs.;"66.0""";Orthodox;28;10;0;5.0;5.0;165.1;135.0;61.23492
Michael;Aswell Jr.;The Texas Kid;"5' 8""";145 lbs.;"69.0""";Orthodox;11;3;0;5.0;8.0;172.72;145.0;65.77083999999999
Bazigit;Atajev;Volk;"6' 1""";230 lbs.;--;Orthodox;17;1;0;6.0;1.0;185.42000000000002;230.0;104.32616
Rich;Attonito;The Raging Bull;"5' 10""";170 lbs.;"72.0""";Orthodox;10;5;0;5.0;10.0;177.8;170.0;77.11064
Olivier;Aubin-Mercier;The Canadian Gangster;"5' 9""";155 lbs.;"70.0""";Southpaw;11;5;0;5.0;9.0;175.26;155.0;70.30676
Pat;Audinwood;Awesomely Awesome;"6' 0""";155 lbs.;--;Orthodox;11;2;1;6.0;0.0;182.88;155.0;70.30676
Jose;Augusto;Gugu;"6' 3""";251 lbs.;--;;6;2;0;6.0;3.0;190.5;251.0;113.851592
Marcus;Aurelio;Maximus;"5' 10""";155 lbs.;"74.0""";Orthodox;22;10;0;5.0;10.0;177.8;155.0;70.30676
David;Avellan;;"5' 9""";185 lbs.;--;Orthodox;2;1;0;5.0;9.0;175.26;185.0;83.91452
Blas;Avena;The Disciple;"6' 0""";170 lbs.;"74.0""";Orthodox;8;7;0;6.0;0.0;182.88;170.0;77.11064
